temp,humi,mq135,mq7,pm2.5,uv_index
"{'ts': 1689504021920, 'value': '30.3'}","{'ts': 1689504021920, 'value': '54.0'}","{'ts': 1689504021920, 'value': '0.2904'}","{'ts': 1689504021920, 'value': '9.2131'}","{'ts': 1689504021920, 'value': '0.0898'}","{'ts': 1689504021920, 'value': '17.3828'}"
"{'ts': 1689503866003, 'value': '30.3'}","{'ts': 1689503866003, 'value': '54.0'}","{'ts': 1689503866003, 'value': '0.2998'}","{'ts': 1689503866003, 'value': '9.2131'}","{'ts': 1689503866003, 'value': '0.0907'}","{'ts': 1689503866003, 'value': '28.6133'}"
"{'ts': 1689503709286, 'value': '30.3'}","{'ts': 1689503709286, 'value': '55.0'}","{'ts': 1689503709286, 'value': '0.2887'}","{'ts': 1689503709286, 'value': '9.2131'}","{'ts': 1689503709286, 'value': '0.0907'}","{'ts': 1689503709286, 'value': '17.7734'}"
"{'ts': 1689503550691, 'value': '30.3'}","{'ts': 1689503550691, 'value': '56.0'}","{'ts': 1689503550691, 'value': '0.2963'}","{'ts': 1689503550691, 'value': '9.3668'}","{'ts': 1689503550691, 'value': '0.0907'}","{'ts': 1689503550691, 'value': '15.0391'}"
"{'ts': 1689503394830, 'value': '30.3'}","{'ts': 1689503394830, 'value': '56.0'}","{'ts': 1689503394830, 'value': '0.2963'}","{'ts': 1689503394830, 'value': '9.3668'}","{'ts': 1689503394830, 'value': '0.0907'}","{'ts': 1689503394830, 'value': '22.1191'}"
"{'ts': 1689503238978, 'value': '30.8'}","{'ts': 1689503238978, 'value': '55.0'}","{'ts': 1689503238978, 'value': '0.3047'}","{'ts': 1689503238978, 'value': '9.3668'}","{'ts': 1689503238978, 'value': '0.0898'}","{'ts': 1689503238978, 'value': '15.0391'}"
"{'ts': 1689503083030, 'value': '30.8'}","{'ts': 1689503083030, 'value': '55.0'}","{'ts': 1689503083030, 'value': '0.3445'}","{'ts': 1689503083030, 'value': '8.9092'}","{'ts': 1689503083030, 'value': '0.0907'}","{'ts': 1689503083030, 'value': '17.6758'}"
"{'ts': 1689502219218, 'value': '28.3'}","{'ts': 1689502219218, 'value': '75.0'}","{'ts': 1689502219218, 'value': '0.3132'}","{'ts': 1689502219218, 'value': '6.421'}","{'ts': 1689502219218, 'value': '0.0806'}","{'ts': 1689502219218, 'value': '15.0391'}"
"{'ts': 1689502063162, 'value': '28.3'}","{'ts': 1689502063162, 'value': '78.0'}","{'ts': 1689502063162, 'value': '0.3992'}","{'ts': 1689502063162, 'value': '8.7591'}","{'ts': 1689502063162, 'value': '0.0789'}","{'ts': 1689502063162, 'value': '27.3926'}"
"{'ts': 1689500861077, 'value': '28.3'}","{'ts': 1689500861077, 'value': '83.0'}","{'ts': 1689500861077, 'value': '0.3168'}","{'ts': 1689500861077, 'value': '7.4805'}","{'ts': 1689500861077, 'value': '0.0839'}","{'ts': 1689500861077, 'value': '23.5352'}"
"{'ts': 1689500308967, 'value': '27.9'}","{'ts': 1689500308967, 'value': '83.0'}","{'ts': 1689500308967, 'value': '0.3395'}","{'ts': 1689500308967, 'value': '7.4805'}","{'ts': 1689500308967, 'value': '0.0856'}","{'ts': 1689500308967, 'value': '22.5098'}"
"{'ts': 1689499988684, 'value': '27.9'}","{'ts': 1689499988684, 'value': '83.0'}","{'ts': 1689499988684, 'value': '0.3805'}","{'ts': 1689499988684, 'value': '8.0493'}","{'ts': 1689499988684, 'value': '0.0848'}","{'ts': 1689499988684, 'value': '30.3711'}"
"{'ts': 1689499829046, 'value': '27.9'}","{'ts': 1689499829046, 'value': '83.0'}","{'ts': 1689499829046, 'value': '0.37'}","{'ts': 1689499829046, 'value': '8.1656'}","{'ts': 1689499829046, 'value': '0.0848'}","{'ts': 1689499829046, 'value': '20.8496'}"
"{'ts': 1689498665572, 'value': '27.9'}","{'ts': 1689498665572, 'value': '82.0'}","{'ts': 1689498665572, 'value': '0.4046'}","{'ts': 1689498665572, 'value': '3.3023'}","{'ts': 1689498665572, 'value': '0.0848'}","{'ts': 1689498665572, 'value': '20.7031'}"
"{'ts': 1689498503661, 'value': '28.3'}","{'ts': 1689498503661, 'value': '82.0'}","{'ts': 1689498503661, 'value': '0.4116'}","{'ts': 1689498503661, 'value': '3.3934'}","{'ts': 1689498503661, 'value': '0.0839'}","{'ts': 1689498503661, 'value': '19.5313'}"
"{'ts': 1689498347139, 'value': '28.3'}","{'ts': 1689498347139, 'value': '82.0'}","{'ts': 1689498347139, 'value': '0.3381'}","{'ts': 1689498347139, 'value': '3.5793'}","{'ts': 1689498347139, 'value': '0.0629'}","{'ts': 1689498347139, 'value': '29.3945'}"
"{'ts': 1689498187203, 'value': '27.9'}","{'ts': 1689498187203, 'value': '82.0'}","{'ts': 1689498187203, 'value': '0.4272'}","{'ts': 1689498187203, 'value': '3.7702'}","{'ts': 1689498187203, 'value': '0.0839'}","{'ts': 1689498187203, 'value': '24.9023'}"
"{'ts': 1689498028470, 'value': '27.9'}","{'ts': 1689498028470, 'value': '82.0'}","{'ts': 1689498028470, 'value': '0.4506'}","{'ts': 1689498028470, 'value': '3.9663'}","{'ts': 1689498028470, 'value': '0.0839'}","{'ts': 1689498028470, 'value': '19.2383'}"
"{'ts': 1689497872574, 'value': '27.9'}","{'ts': 1689497872574, 'value': '82.0'}","{'ts': 1689497872574, 'value': '0.4749'}","{'ts': 1689497872574, 'value': '4.1675'}","{'ts': 1689497872574, 'value': '0.0814'}","{'ts': 1689497872574, 'value': '30.0781'}"
"{'ts': 1689497716693, 'value': '27.5'}","{'ts': 1689497716693, 'value': '83.0'}","{'ts': 1689497716693, 'value': '0.5022'}","{'ts': 1689497716693, 'value': '4.858'}","{'ts': 1689497716693, 'value': '0.0856'}","{'ts': 1689497716693, 'value': '26.6602'}"
"{'ts': 1689497559160, 'value': '27.5'}","{'ts': 1689497559160, 'value': '83.0'}","{'ts': 1689497559160, 'value': '0.5971'}","{'ts': 1689497559160, 'value': '8.7591'}","{'ts': 1689497559160, 'value': '0.0881'}","{'ts': 1689497559160, 'value': '30.127'}"
"{'ts': 1689494912645, 'value': '31.8'}","{'ts': 1689494912645, 'value': '79.0'}","{'ts': 1689494912645, 'value': '0.8511'}","{'ts': 1689494912645, 'value': '8.844'}","{'ts': 1689494912645, 'value': '0.047'}","{'ts': 1689494912645, 'value': '1.8066'}"
"{'ts': 1689494756795, 'value': '31.8'}","{'ts': 1689494756795, 'value': '80.0'}","{'ts': 1689494756795, 'value': '0.8458'}","{'ts': 1689494756795, 'value': '8.9293'}","{'ts': 1689494756795, 'value': '0.0453'}","{'ts': 1689494756795, 'value': '2.002'}"
"{'ts': 1689494600942, 'value': '31.8'}","{'ts': 1689494600942, 'value': '80.0'}","{'ts': 1689494600942, 'value': '0.8458'}","{'ts': 1689494600942, 'value': '8.844'}","{'ts': 1689494600942, 'value': '0.047'}","{'ts': 1689494600942, 'value': '1.7578'}"
"{'ts': 1689494506739, 'value': '31.8'}","{'ts': 1689494506739, 'value': '79.0'}","{'ts': 1689494506739, 'value': '0.8511'}","{'ts': 1689494506739, 'value': '8.9293'}","{'ts': 1689494506739, 'value': '0.0461'}","{'ts': 1689494506739, 'value': '7.0313'}"
"{'ts': 1689494437352, 'value': '31.8'}","{'ts': 1689494437352, 'value': '79.0'}","{'ts': 1689494437352, 'value': '0.8511'}","{'ts': 1689494437352, 'value': '8.844'}","{'ts': 1689494437352, 'value': '0.0445'}","{'ts': 1689494437352, 'value': '5.5664'}"
